,Raw name,Mapped name,Score
560,activ cars gmbh,activ cars gmbh,1.0
561,activ concept,abg concept,0.7567567567567567
562,activa eventmanagement,activa eventmanagement,1.0
563,activate,activate,1.0
564,activation business theatre,abc business,0.8478260869565217
565,activation management llc dba,aachen technical and management,0.6631274431529505
566,activation restaurant llc dba,activation management llc dba,0.5596641429607718
567,activcompany,activcompany,1.0
568,active blue gmbh  cokg,active blue gmbh  cokg,1.0
569,active blue gmbh  cokg,active blue gmbh  cokg,1.0
570,active business y technology,abc business,0.5678785262486158
571,active capital management gmbh,aachen technical and management,0.5804053962074083
572,active circle,active blue gmbh  cokg,0.9494033412887828
573,active reseaux et telecom,active blue gmbh  cokg,0.6100466079751423
574,active reseaux telecom,active blue gmbh  cokg,0.5966493252853817
575,active rh conseil,active blue gmbh  cokg,0.518206396903218
576,active risk group,active blue gmbh  cokg,0.7283046503112413
577,active risk group plc,active blue gmbh  cokg,0.6243308104116669
578,active risk limited,active blue gmbh  cokg,0.6773958855995986
579,active risk ltd,active blue gmbh  cokg,0.689170820117807
580,activeark jwt ltd,activeark jwt ltd,1.0
581,activeo,activeo,1.0
582,activestandards,activestandards,1.0
583,activestate software,activestate software,1.0
584,activestate software inc,activestate software,1.0
585,actividades de la bahia 2000 sl,actividades de la bahia 2000 sl,1.0
586,actividades de mudanzas y gestion,actividades de la bahia 2000 sl,0.5093103089566212
587,activise,activise,1.0
588,activium id,activium id,1.0
